ip_country,ip_city,ip_lat,ip_lon,ip_timezone,local_time,user_country,user_city,amount,transaction_frequency,account_age_days,device_type,payment_method,label
France,Paris,48.8566,2.3522,Europe/Paris,2024-06-10 11:07:58,United States,New York,3057.62,175,163,web,paypal,1
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-12-31 07:07:58,Brazil,São Paulo,1060.05,14,3649,mobile,apple_pay,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-08-20 07:07:58,Brazil,São Paulo,1779.23,24,3119,web,google_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-11-09 10:07:58,France,Paris,4536.78,80,88,web,google_pay,1
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-09-30 15:37:58,Australia,Sydney,7443.75,81,140,mobile,paypal,1
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-06-01 06:07:58,Canada,Toronto,2122.36,14,2567,web,apple_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2025-02-28 06:07:58,Canada,Toronto,1028.44,8,1473,web,apple_pay,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-06-27 07:07:58,Brazil,São Paulo,3899.56,23,4691,mobile,paypal,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-09-26 15:37:58,India,Mumbai,3013.66,24,2611,mobile,apple_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2025-01-08 10:07:58,United Kingdom,London,408.16,22,2876,mobile,apple_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-11-15 11:07:58,France,Paris,3380.42,14,4453,web,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-06-16 07:07:58,United Kingdom,London,3515.45,77,99,mobile,google_pay,1
United States,New York,40.7128,-74.006,America/New_York,2024-08-24 06:07:58,United States,New York,710.53,28,913,web,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-09-16 07:07:58,Brazil,São Paulo,2658.19,10,3452,web,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-07-26 21:07:58,Australia,Sydney,2149.0,91,77,web,credit_card,1
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-07-26 15:37:58,India,Mumbai,993.96,30,4632,mobile,credit_card,0
